Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
1LSU;STEEL MAST;:  ROOF;:;;;1LSU;30.4074;268.8197;-6.487;-113402.8795;-5504361.3939;3209404.2335;2003-04-23;2022-09-24;2022-10-01;6636.0;
1NSU;STEEL MAST;:  ROOF;:;;;1NSU;31.7508;266.9024;28.071;-293349.5323;-5420742.3561;3336980.8353;2004-01-16;2022-09-24;2022-10-01;6710.0;
1ULM;STEEL MAST;:  ROOF;:;;;1ULM;32.529;267.9241;16.0;-194982.0141;-5379221.9515;3410046.833;2003-06-14;2022-09-24;2022-10-01;6814.0;
34A1;PERMANENT STATION UNSPECIFIED;:;:;;;34A1;41.8387;240.346;1907.677;-2355255.8623;-4136920.1139;4233541.9024;2015-03-16;2016-04-29;2022-05-10;99.0;
34A2;PERMANENT STATION UNSPECIFIED;:;:;;;34A2;41.8531;240.3926;1862.779;-2351343.163;-4137874.1378;4234708.7113;2015-03-20;2016-10-18;2022-05-10;148.0;
34A3;PERMANENT STATION UNSPECIFIED;:;:;;;34A3;41.8507;240.4229;1831.947;-2349236.2215;-4139247.3496;4234490.9842;2015-03-18;2016-04-28;2022-05-10;64.0;
34A4;PERMANENT STATION UNSPECIFIED;:;:;;;34A4;41.8666;240.5052;1708.216;-2342662.2508;-4141514.2631;4235721.3273;2015-03-18;2016-04-28;2022-05-10;98.0;
34NO;PERMANENT STATION UNSPECIFIED;:;:;;;34NO;41.9291;240.2914;1768.973;-2355818.5174;-4128755.3272;4240933.7708;2015-03-14;2016-04-28;2022-05-10;102.0;
34SO;PERMANENT STATION UNSPECIFIED;:;:;;;34SO;41.8059;240.2932;1705.89;-2360200.469;-4136724.4522;4230693.0455;2015-03-14;2016-04-29;2022-05-10;102.0;
7OAK;Steel Pin in Rock;:  UNKNOWN;:;;;7OAK;37.595;245.2409;1713.278;-2119707.4227;-4596082.9515;3870967.7786;2010-10-18;2022-09-13;2022-09-25;305.0;
7ODM;Wyatt/Agnew drilled-braced;:;: Bedrock;;;7ODM;34.1164;242.9068;762.072;-2407750.878;-4706536.7233;3557571.3926;2001-04-20;2021-03-03;2022-05-10;5931.0;
ABAN;:;:                      :;;;;ABAN;38.1751;358.9463;207.753;5019756.9427;-92324.1141;3920866.4967;2009-09-01;2022-09-17;2022-09-25;4166.0;
ABQ5;STEEL TOWER;:;:;;;ABQ5;34.9574;253.5055;1719.74;-1486206.9395;-5019130.4707;3634977.9941;2002-10-24;2016-08-04;2022-05-10;4581.0;
ABQ6;STEEL TOWER;:;:;;;ABQ6;34.9571;253.5055;1720.65;-1486213.0782;-5019145.7911;3634956.0764;2002-10-24;2016-08-04;2022-05-10;4411.0;
ABRN;Steel Pin in Rock;:  UNKNOWN;:;;;ABRN;42.7607;239.8997;1370.484;-2352627.9657;-4058454.5528;4308955.5792;2015-02-26;2021-06-17;2022-05-10;159.0;
ACAL;:;:                      :;;;;ACAL;37.7308;359.1392;67.368;5050254.9684;-75879.398;3881893.9911;2015-02-24;2022-09-17;2022-09-25;2247.0;
ACHT;STEEL MAST;6.00;CONCRETE PAD;1.20;GRAVEL;ACHT;45.5128;298.9734;21.02;2168735.6198;-3916792.4077;4527480.15;2014-08-23;2022-09-24;2022-10-01;2943.0;
ACIN;STEEL MAST ANCHORED TO WALL;1.5;ROOF;:;;ACIN;40.4089;358.5632;1178.322;4862768.0973;-121966.0309;4113424.5867;2010-03-31;2019-12-31;2022-05-10;2658.0;
ACNS;PILLAR;1.5;CONCRETE BLOCK ON ROOF;0.5                :;;ACNS;41.7001;353.6479;871.222;4740593.4514;-527730.5859;4221366.9739;2008-02-19;2022-09-17;2022-09-25;5264.0;
ACOR;STEEL MAST;3;CONCRETE BLOCK;2;CONGLOMERATE;ACOR;43.3644;351.6011;66.916;4594489.7469;-678367.8806;4357066.0719;1998-12-11;2022-09-17;2022-09-25;8189.0;
ACSB;DEEP-DRILLED BRACED;:;:;;;ACSB;33.2743;242.5551;-12.296;-2460183.5738;-4737087.498;3479422.7215;2013-12-04;2022-09-24;2022-10-01;3210.0;
ACSO;DEEP-DRILLED BRACED;:;:;;;ACSO;40.2324;277.0185;248.174;595828.2307;-4839733.9168;4097876.5926;2006-08-20;2022-09-24;2022-10-01;4838.0;
ACSX;DEEP-DRILLED BRACED;:;:;;;ACSX;33.2743;242.5551;-12.291;-2460183.6467;-4737087.4397;3479422.7579;2016-04-22;2022-09-24;2022-10-01;2340.0;
ACU2;STEEL TOWER;:;:;;;ACU2;41.7436;289.1135;3.659;1560585.5906;-4503266.288;4224402.1482;2002-03-09;2004-02-20;2022-05-10;234.0;
ACU5;STEEL TOWER;:;:;;;ACU5;41.7436;289.113;5.286;1560550.4669;-4503284.5783;4224398.1126;2002-03-09;2020-06-30;2022-05-10;5969.0;
ACU6;STEEL TOWER;:;:;;;ACU6;41.7433;289.1134;5.021;1560586.4347;-4503296.253;4224372.1533;2004-02-21;2020-06-25;2022-05-10;5290.0;
ADKS;BOREHOLE EXTENSOMETER;:;:;;;ADKS;29.791;264.4136;2.831;-539282.7289;-5513496.8493;3150287.2103;2002-02-20;2022-09-24;2022-10-01;6475.0;
ADLL;Steel Pin in Rock;:  UNKNOWN;:;;;ADLL;42.1964;239.9933;1545.864;-2367239.9482;-4099071.0162;4262828.5177;2015-02-27;2021-06-16;2022-05-10;283.0;
ADRI;PILLAR;1.52;POURED CONCRETE CYLINDER;3.66               :;;ADRI;41.919;275.9757;205.96;494838.1799;-4727340.1263;4239050.3237;2002-02-05;2022-09-24;2022-10-01;6931.0;
ADVT;STEEL MAST;4.00;CONCRETE BLOCK;1.00;PIT RUN GRAVEL;ADVT;45.3409;295.2123;-9.457;1912927.3515;-4062906.7137;4514053.6284;2015-09-23;2022-09-24;2022-10-01;2543.0;
AGMT;SHALLOW DRILLED-BRACED;:;: Bedrock;;;AGMT;34.5943;243.5706;1337.823;-2339956.2015;-4707748.8375;3601666.0835;1999-12-22;2022-09-24;2022-10-01;8267.0;
AGNS;SHORT-DRILLED BRACED;:;:;;;AGNS;42.5528;235.9409;51.368;-2635435.8109;-3898512.0425;4291069.0522;2021-06-18;2022-09-24;2022-10-01;463.0;
AGRD;STEEL MAST;1.5;ROOF;0                  :;;AGRD;41.849;358.0694;1010.901;4756259.3162;-160320.9323;4233796.8767;2007-05-01;2022-09-17;2022-09-25;5382.0;
AGUA;Steel Pin in Rock;:  UNKNOWN;:;;;AGUA;34.2479;247.9415;978.644;-1982413.2067;-4892248.6355;3569760.2371;2010-10-25;2019-03-03;2022-05-10;1710.0;
AGUE;STEEL MAST;:;:;;;AGUE;40.5756;351.5531;102.99;4798831.6998;-712643.1913;4126805.5533;2008-10-24;2022-06-01;2022-06-16;4858.0;
AGUI;MAST;:  WALL;:;;;AGUI;27.9039;344.5542;329.127;5437265.7452;-1502353.0304;2967249.808;2010-04-06;2022-06-14;2022-09-03;4159.0;
AHID;SHALLOW FOUNDATION MAST;:  UNKNOWN;:;;;AHID;42.7731;248.9363;1975.542;-1685815.5334;-4377138.7412;4310376.0931;2000-07-07;2022-09-24;2022-10-01;7580.0;
AICI;PILLAR ON THE EDGE OF A ROOF;:  CONCRETE SLAB;:;;;AICI;43.3336;358.9856;121.401;4645961.3276;-82264.0872;4354613.6291;2011-02-18;2022-09-24;2022-10-01;4046.0;
AIO2;Forced centering device on the top of a;2;CONCRETE;: LIMESTONE, GYPSUM, SALT ROCK, SALT LAKES.;;AIO2;39.0614;358.9408;662.865;4958705.1173;-91678.205;3998026.0257;2019-10-15;2020-11-09;2022-05-10;381.0;
AIRM;:;:                      :;;;;AIRM;37.8065;358.8714;253.966;5044843.5107;-99385.5407;3888655.2468;2013-03-20;2022-09-17;2022-09-25;2914.0;
AJAL;STEEL MAST;1.5;ROOF;0                  :;;AJAL;41.2161;357.7264;884.225;4801696.4283;-190640.494;4181085.919;2007-05-10;2022-09-17;2022-09-25;5396.0;
AL20;STEEL MAST;:;:;;;AL20;34.7103;272.3373;131.934;214061.0444;-5244534.6508;3611570.8962;2006-08-06;2018-07-19;2022-05-10;4155.0;
AL30;STEEL MAST;:;:;;;AL30;33.5324;273.1466;148.522;292139.8916;-5314188.1607;3503407.902;2006-08-06;2022-09-21;2022-10-01;5790.0;
AL35;BRACED STEEL TUBING MOUNTED TO;6.0;CONCRETE;3.6                :;;AL35;33.1651;273.2432;146.342;302364.2331;-5336041.5313;3469382.6792;2010-03-21;2022-09-24;2022-10-01;4541.0;
AL40;STEEL MAST;:  Building is constructed of reinforced c:                      :;;;;AL40;32.9627;273.9937;210.972;373091.4955;-5343896.4562;3450601.9863;2007-01-01;2012-10-10;2022-05-10;2077.0;
AL50;STEEL MAST, PRESTRESSED CONCRETE;:;: CLAY;;;AL50;33.168;272.4985;97.932;232977.8123;-5339307.0876;3469621.2153;2006-08-06;2022-09-19;2022-10-01;5849.0;
AL60;STEEL MAST;:  Building is constructed of reinforced c:                      :;;;;AL60;32.4114;273.7295;44.76;350579.9721;-5378369.9145;3399054.078;2007-01-06;2022-09-24;2022-10-01;5617.0;
AL62;STEEL MAST;4;Building is constructed of block with;1.2                :;;AL62;32.1482;274.3132;140.814;406538.584;-5390144.1192;3374427.55;2010-07-15;2022-09-24;2022-10-01;4227.0;
AL70;STEEL MAST;:;:;;;AL70;31.7827;274.0348;141.969;381854.5932;-5413454.9962;3340052.5249;2006-08-06;2013-11-05;2022-05-10;2526.0;
AL76;BRACED STEEL TUBING MOUNTED TO;6.5;CONCRETE;3.65;SANDY CLAY;AL76;31.875;274.7743;100.122;451235.163;-5402665.0981;3348720.7104;2011-03-19;2022-09-24;2022-10-01;4166.0;
AL81;BRACED STEEL TUBING MOUNTED TO;6.5;CONCRETE;3.7;SANDY CLAY;AL81;32.5757;271.8182;21.109;170701.2209;-5377264.7444;3414412.9187;2011-05-12;2022-09-24;2022-10-01;4100.0;
AL82;STEEL MAST;5.5;Building is constructed of brick with;1.2                :;;AL82;32.2574;272.3742;25.767;223651.3992;-5394263.1381;3384621.1689;2010-08-18;2022-09-24;2022-10-01;4371.0;
AL84;BRACED STEEL TUBING MOUNTED TO;6.3;CONCRETE;3.6                :;;AL84;31.7004;272.2108;111.475;209536.5387;-5427642.0712;3332268.8118;2010-06-26;2022-09-24;2022-10-01;4426.0;
AL90;STEEL MAST;:  Building is constructed hurricane resis:                      :;;;;AL90;30.6908;271.9683;-17.323;188546.0799;-5486311.792;3236456.3725;2007-02-10;2022-09-24;2022-10-01;5569.0;
AL92;BRACED STEEL TUBING MOUNTED TO;6.5;CONCRETE;3.7;SANDY CLAY;AL92;30.9164;272.2243;60.935;212564.7468;-5472685.2976;3257975.7046;2010-07-07;2022-09-24;2022-10-01;4336.0;
ALA1;STEEL MAST;8;Building has brick facade with;0.6                :;;ALA1;32.5989;274.4961;184.104;421642.7977;-5362176.5495;3416663.326;2010-07-15;2022-09-24;2022-10-01;4420.0;
ALAC;STEEL MAST;3;CONCRETE BLOCK;2;CONGLOMERATE;ALAC;38.3389;359.5188;60.332;5009051.1878;-42072.183;3935057.7358;1998-03-06;2022-09-17;2022-09-25;8614.0;
ALAM;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;ALAM;37.358;244.8415;1090.005;-2158287.5105;-4595239.5485;3849706.7276;1999-06-13;2022-09-24;2022-10-01;5100.0;
ALAN;STEEL MAST;11;Building is constructed of reinforced;1                  :;;ALAN;31.3074;273.516;85.275;334509.404;-5444166.2112;3295102.8279;2010-07-09;2022-09-24;2022-10-01;4405.0;
ALAS;STEEL MAST;6.5;Building is constructed of concrete;1.8                :;;ALAS;33.667;274.1693;203.136;386348.3584;-5299929.4604;3515878.0717;2010-08-18;2022-09-24;2022-10-01;4398.0;
ALAU;STEEL MAST;194.96;ROOF;:;;ALAU;32.6081;274.5197;193.557;423808.2726;-5361456.9525;3417536.3453;2009-01-01;2010-02-24;2022-05-10;395.0;
ALBA;Steel tower on a concrete block;3.0;Concrete;: CONGLOMERATE;;ALBA;38.9779;358.1436;751.759;4962848.0483;-160854.1142;3990884.4508;2002-07-10;2022-09-17;2022-09-25;7258.0;
ALBE;STEEL MAST;6.1;Building is constructed of concrete;1.8                :;;ALBE;34.4754;272.1354;226.453;196138.4369;-5260118.2601;3590172.8887;2010-08-01;2022-09-24;2022-10-01;4337.0;
ALBL;:;:                      :;;;;ALBL;43.6766;266.6703;371.527;-268376.6003;-4612834.9573;4382427.3777;2013-06-29;2015-03-07;2022-05-10;601.0;
ALBO;PILLAR;0.3;CONCRETE BLOCK;: ANDESITE/BASALT;;ALBO;35.9398;356.9658;62.235;5162721.8184;-273659.8422;3722826.1442;2015-11-21;2022-09-17;2022-09-25;1912.0;
ALBU;STEEL MAST;6.1;Building is constructed of reinforced;1                  :;;ALBU;32.0816;271.7668;16.87;166780.6188;-5406697.8099;3368114.5821;2010-12-11;2022-09-24;2022-10-01;4080.0;
ALC2;BASE ANCHORED TO ROOF;0.0;ROOF;:;;ALC2;41.0569;359.856;391.842;4816720.3064;-12101.5725;4167450.9313;2009-07-10;2019-12-31;2022-05-10;2859.0;ALCA
ALC5;PILLAR;1.0;CONCRETE BLOCK;: CONGLOMERATE/SANDSTONE BEDROCK;;ALC5;41.0579;359.8547;397.639;4816654.5162;-12214.8779;4167534.9582;2016-08-24;2022-09-17;2022-09-25;2106.0;ALC1
ALC6;STEEL MAST;:;:;;;ALC6;33.1046;273.2494;127.916;303156.3399;-5339658.6331;3463747.8887;2009-01-01;2010-01-13;2022-05-10;355.0;ALCA
ALCE;STEEL MAST;7;Building is constructed of brick;1.2                :;;ALCE;32.946;272.8494;56.237;266336.5636;-5351156.7004;3448966.1772;2010-06-30;2022-09-24;2022-10-01;4437.0;
ALCL;STEEL MAST;11;Building is constructed of brick and bl:   1                  :;;;ALCL;32.8399;273.3702;167.657;315346.4567;-5354985.4475;3439149.141;2010-06-30;2022-09-24;2022-10-01;4394.0;
ALCN;STEEL MAST;7.3;Building is constructed of concrete;1                  :;;ALCN;34.1631;274.3414;164.908;399936.6007;-5268100.7054;3561518.8532;2010-08-01;2022-09-23;2022-10-01;4407.0;
ALCO;Brass plate with forced centered adapter;0.30;CONCRETE BLOCK;0.50;LIMESTONE,CALCAREOUS CLAY;ALCO;38.698;359.5265;640.121;4984687.2634;-41198.8855;3966606.2061;2005-01-01;2020-11-09;2022-05-10;5488.0;
ALCU;STEEL MAST;10;Building is constructed of brick;1.8                :;;ALCU;34.1799;273.1551;222.83;290732.7505;-5274252.7147;3563095.2305;2010-09-08;2022-09-24;2022-10-01;4326.0;
ALDA;STEEL MAST;:  STEEL MAST ON ROOF;: LIMESTONE/SANDSTONE BEDROCK;;;ALDA;42.7544;357.6681;881.815;4687280.2928;-190876.7826;4308106.8156;2007-12-24;2022-03-11;2022-05-10;4849.0;
ALDE;MAST;:  WALL;:;;;ALDE;27.9848;344.2197;122.407;5424185.3555;-1532872.6096;2975072.6608;2010-04-26;2022-06-14;2022-09-03;4138.0;
ALDI;STEEL MAST;:  The main building was constructed in 19:                      :;;;;ALDI;30.2492;271.922;-19.127;184948.674;-5511274.9934;3194254.9143;2009-05-28;2022-09-24;2022-10-01;4806.0;
ALDO;STEEL MAST;11;Building has brick facade with one;2.7                :;;ALDO;31.2395;274.5598;79.689;433935.5194;-5441059.8114;3288666.4898;2010-07-21;2022-09-24;2022-10-01;4422.0;
ALDS;STEEL MAST;7.6;Building is constructed of concrete;1.8                :;;ALDS;34.1482;272.5951;226.256;239260.4359;-5278817.5716;3560187.8691;2010-11-25;2022-09-24;2022-10-01;4289.0;
ALEB;STEEL MAST;10;Building is constructed of concrete;1                  :;;ALEB;31.0915;272.9444;13.503;280806.4531;-5459556.6582;3274587.867;2011-01-01;2021-05-27;2022-05-10;3678.0;
ALEF;BUILDING WALL;:;:;;;ALEF;29.6918;264.3649;5.592;-544498.9092;-5518464.5912;3140747.0629;2014-04-04;2022-09-24;2022-10-01;3094.0;
ALFA;STEEL MAST;9.7;Building is constructed of concrete;1.8                :;;ALFA;33.6852;272.1707;89.179;201229.5772;-5308965.3964;3517495.8633;2010-06-30;2022-09-24;2022-10-01;4352.0;
ALFO;BRACED STEEL TUBING MOUNTED TO;6.5;CONCRETE;3.7;SANDY CLAY;ALFO;30.417;272.3249;3.03;223318.0717;-5500471.2912;3210320.3244;2010-03-21;2022-09-24;2022-10-01;4539.0;
ALG2;20 cm diameter stainless steel cylinder;2.70;exposed bedrock;4.00;Bedrock;ALG2;45.9552;281.9291;202.219;918176.109;-4346107.2742;4561936.2578;2010-10-15;2022-09-18;2022-10-01;3253.0;
ALG3;20 cm diameter stainless steel cylinder;2.10;exposed bedrock;4.00;Bedrock;ALG3;45.9548;281.9273;207.321;918043.2102;-4346175.1833;4561905.6596;2010-05-21;2022-09-24;2022-10-01;4396.0;
ALGC;PILLAR/STEEL MAST;0;ROOF;:;;ALGC;36.111;354.5558;117.164;5135570.4341;-489449.3869;3738222.0045;2006-03-22;2015-12-12;2022-05-10;3328.0;
ALGO;Concrete Pier;2.00;Exposed bedrock;1.50;Bedrock;ALGO;45.9558;281.9286;200.897;918129.4502;-4346071.2523;4561977.8346;1994-01-01;2022-09-24;2022-10-01;10253.0;
ALH1;STEEL MAST;6.1;Building is constructed of concrete;1                  :;;ALH1;34.1333;271.9981;132.693;184273.7614;-5281872.697;3558768.8095;2010-09-01;2012-07-04;2022-05-10;670.0;
ALHC;STEEL MAST;7.3;Building is constructed of brick;1                  :;;ALHC;33.5237;274.3651;256.558;405133.2686;-5307389.7775;3502670.9271;2010-10-16;2022-09-24;2022-10-01;4325.0;
ALHL;STEEL MAST;8.2;Building is constructed of concrete;Varies fro         :;;ALHL;33.8876;273.602;330.739;333010.125;-5290024.3382;3536286.5089;2010-08-01;2022-09-24;2022-10-01;4334.0;
ALIA;STEEL MAST ANCHORED TO LEDGE;1.0;ROOF;:;;ALIA;40.6709;359.2968;1169.257;4845013.6599;-59465.3374;4135530.5686;2010-03-31;2019-12-31;2022-05-10;2466.0;
ALJA;STEEL MAST;10;Building is constructed of brick and;1.8                :;;ALJA;33.8319;272.7224;84.303;251912.9815;-5297746.6459;3531019.6421;2010-09-11;2022-09-24;2022-10-01;4153.0;
ALLA;BRACED STEEL TUBING MOUNTED TO;4.6;CONCRETE;3.1                :;;ALLA;32.9174;274.5995;237.154;429792.088;-5342396.8315;3446401.7582;2010-08-01;2022-09-24;2022-10-01;4360.0;
ALLG;STEEL MAST on side of bldg.;5;Side of Brick Building;:;;ALLG;39.6539;281.2693;174.553;960972.6393;-4822645.3582;4048582.1512;2009-02-06;2017-09-09;2022-05-10;3082.0;
ALM1;PILLAR;0.3;ROOF;: ANTHROPIC FILLING;;ALM1;36.8322;357.515;54.497;5106413.1333;-221608.8197;3802540.409;2018-11-23;2022-06-22;2022-07-03;1269.0;
ALME;STEEL MAST;3;CONCRETE BLOCK;3;LIMESTONE;ALME;36.8525;357.5406;127.5;5105220.0839;-219278.4736;3804387.161;1999-12-04;2022-09-17;2022-09-25;8035.0;
ALMJ;STEEL MAST;9.75;Building is constructed of brick;1                  :;;ALMJ;31.029;271.7703;70.115;168990.3767;-5467784.7985;3268683.4802;2011-01-03;2022-09-24;2022-10-01;3957.0;
ALMO;PILLAR;0.5;CONCRETE BLOCK;2;CLAY/LIMESTONE/CLAY;ALMO;38.7055;355.8198;743.351;4971155.3593;-363336.0208;3967322.8969;2013-06-26;2022-09-17;2022-09-25;3306.0;
ALMR;PILLAR/STEEL MAST;0;ROOF;:;;ALMR;36.8627;357.5591;198.796;5104673.7838;-217597.5697;3805329.9352;2006-03-15;2017-11-02;2022-05-10;3946.0;
ALMZ;REINFORCED CONCRETE PILLAR;4;CONCRETE BLOCK;: SANDROCK, MARGES AND GRAVEL;;ALMZ;41.5031;357.461;1012.138;4779809.3457;-211948.033;4205102.8067;2018-06-29;2022-09-17;2022-09-25;1379.0;
ALNB;STEEL MAST;6;Building is constructed of concrete;1.8                :;;ALNB;31.3775;274.084;106.902;388167.5975;-5436568.1694;3301753.7491;2010-07-17;2022-09-24;2022-10-01;4411.0;
ALNC;STEEL MAST;6;Building is constructed of reinforced;1                  :;;ALNC;34.6813;272.6905;156.779;246479.3828;-5244967.3887;3608936.2236;2010-07-10;2022-05-31;2022-06-20;4286.0;
ALPP;Wyatt/Agnew drilled-braced;:;: Sediments;;;ALPP;34.8245;241.3052;918.073;-2517069.6931;-4598513.0017;3622424.5136;2001-08-07;2022-09-24;2022-10-01;6679.0;
ALRE;STEEL MAST;7;Building is constructed of brick;1                  :;;ALRE;31.4113;272.7658;85.245;262901.9681;-5442090.3528;3304942.062;2010-08-25;2022-09-24;2022-10-01;4163.0;
ALSA;STEEL MAST;1;ROOF;0                  :;;ALSA;42.8915;357.8356;584.274;4677251.0017;-176770.5939;4319079.7973;2008-05-16;2022-09-17;2022-09-25;5168.0;
ALSE;STEEL MAST;6;Building is constructed of concrete;1.8                :;;ALSE;32.4474;272.9882;29.748;280860.6153;-5380301.8056;3402419.9779;2010-09-11;2022-09-24;2022-10-01;4243.0;
ALTA;STEEL MAST;6;Building is constructed of concrete;1                  :;;ALTA;33.4235;273.8788;148.589;360477.8072;-5316665.5562;3493337.5549;2010-08-26;2022-09-24;2022-10-01;4314.0;
ALTH;shallow rod/braced antenna mount;:;:;;;ALTH;36.8896;239.3302;18.788;-2605214.3921;-4392960.6279;3807613.1334;2010-09-27;2022-09-24;2022-10-01;3820.0;
ALTU;STEEL MAST;7.7;Building addition where antenna is loca:   0.6                :;;;ALTU;31.8002;274.0457;141.122;382806.2767;-5412364.6696;3341697.4647;2013-09-20;2022-09-24;2022-10-01;3042.0;
ALUT;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;ALUT;40.5839;248.3798;2823.994;-1788072.0529;-4511503.4282;4129277.7584;2005-10-07;2020-01-05;2022-05-10;5007.0;
AMAR;STEEL MAST;:;:;;;AMAR;38.2087;352.7721;266.318;4978465.6539;-631387.7344;3923837.1353;2008-03-19;2022-06-01;2022-06-16;5052.0;
AMC2;unknown;:;:;;;AMC2;38.8031;255.4754;1911.378;-1248596.1223;-4819428.2054;3976505.9986;1998-10-21;2018-04-04;2022-05-10;6997.0;
AMC4;:;:                      :;;;;AMC4;38.8031;255.4754;1911.388;-1248596.4018;-4819428.2044;3976505.9291;2018-07-16;2022-09-24;2022-10-01;1328.0;
AME4;"10' x 2"" Galvanized Pipe";19;Galvanized Platform Railing;40;BEDROCK;AME4;29.4496;268.6619;-15.773;-129804.8922;-5556978.8003;3117382.3321;2015-05-05;2022-09-17;2022-09-25;2485.0;AMER
AMES;SHALLOW FOUNDATION TOWER;:;:;;;AMES;41.9831;266.3164;288.216;-305069.6481;-4738656.937;4244403.9514;2014-07-20;2016-04-05;2022-05-10;609.0;
AMHT;STEEL MAST;6.00;CONCRETE BLOCK;1.00;PIT RUN GRAVEL;AMHT;45.8319;295.8119;36.816;1938383.1226;-4007604.9655;4552275.4012;2015-09-23;2022-09-24;2022-10-01;2556.0;
AMU1;STEEL MAST;1.50;STEEL MAST ON ROOF;: LIMESTONE/SANDSTONE BEDROCK;;AMU1;43.0562;356.9964;299.276;4661499.6157;-244591.3845;4332269.7316;2007-12-23;2022-03-05;2022-05-10;4809.0;AMUR
ANA1;SHALLOW DRILLED-BRACED;1;:;Bedrock;;ANA1;34.015;240.6365;22.447;-2595092.2662;-4612420.4829;3547838.8527;2002-05-11;2022-09-24;2022-10-01;7173.0;
AND2;PILLAR/STEEL MAST;0;ROOF;:;;AND2;38.0404;355.9702;284.235;5017457.7421;-353478.4786;3909148.7046;2020-01-08;2022-09-17;2022-09-25;889.0;
ANDS;Steel Mast;3.6;Concrete;4.0;Undifferentiated Silurian;ANDS;41.5962;272.8683;163.013;239045.9728;-4771025.4854;4212280.3821;2007-02-20;2021-12-14;2022-05-10;3759.0;
ANDU;PILLAR/STEEL MAST;0;ROOF;:;;ANDU;38.0404;355.9697;283.635;5017453.1944;-353521.6938;3909149.6475;2007-07-25;2019-08-26;2022-05-10;4265.0;
ANG5;STEEL TOWER;:;:;;;ANG5;29.3015;264.5149;-9.253;-532087.0925;-5541064.8954;3103079.3279;2003-06-12;2019-07-09;2022-05-10;5149.0;
ANG6;STEEL TOWER;:;:;;;ANG6;29.3016;264.5151;-9.193;-532066.3713;-5541057.682;3103095.7751;2003-06-05;2019-07-09;2022-05-10;5261.0;
ANP5;STEEL TOWER;:;:;;;ANP5;39.0103;283.3908;20.425;1149298.5282;-4827706.9105;3993217.3498;2001-06-21;2018-10-01;2022-05-10;5616.0;
ANP6;STEEL TOWER;:;:;;;ANP6;39.0105;283.3909;21.63;1149308.4318;-4827688.8935;3993238.0682;2001-06-20;2018-09-10;2022-05-10;4439.0;
ANTB;Steel Pin in Rock;:  UNKNOWN;:;;;ANTB;39.8479;242.6291;1647.617;-2254980.3418;-4355714.221;4066088.2182;2004-09-09;2018-09-12;2022-05-10;666.0;
ANTE;Steel Pin in Rock;:  UNKNOWN;:;;;ANTE;40.1459;241.8327;1445.115;-2305188.3959;-4305058.5353;4091315.1484;2004-03-06;2021-08-12;2022-05-10;943.0;
ANTG;STEEL MAST;5.50;CONCRETE BLOCK;1.00;PIT RUN GRAVEL;ANTG;45.6172;297.9894;14.394;2097263.5638;-3946134.5767;4535601.4146;2015-08-06;2022-09-24;2022-10-01;2602.0;
ANTI;MAST;:  WALL;:;;;ANTI;28.4233;345.9861;316.048;5446736.6405;-1359429.0521;3017994.973;2010-05-17;2022-06-14;2022-09-03;4177.0;
ANTV;Steel Pin in Rock;:  UNKNOWN;:;;;ANTV;39.6425;239.7187;1681.061;-2480598.1626;-4248214.2644;4048573.7424;2007-05-02;2016-05-15;2022-05-10;447.0;
AOA1;STEEL MAST;1;ROOF;:;;AOA1;34.1574;241.1697;246.561;-2547880.2031;-4628773.589;3561050.074;1994-09-01;2006-12-20;2022-05-10;3834.0;
AOML;STEEL MAST;:;:;;;AOML;25.7347;279.8378;0.096;982296.7653;-5664607.2263;2752614.4766;1997-11-20;2004-04-04;2022-05-10;2245.0;
APEX;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;APEX;36.3191;245.0682;761.037;-2169121.1145;-4666190.6823;3757231.6446;1999-03-27;2009-06-23;2022-05-10;3697.0;
AR27;DEEP-DRILLED BRACED;:;:;;;AR27;33.3418;242.6751;32.301;-2448387.7583;-4738604.2158;3485711.6047;2013-12-07;2022-09-24;2022-10-01;2931.0;
AR53;DEEP-DRILLED BRACED;:;:;;;AR53;33.3811;242.5235;111.04;-2459839.8042;-4730042.9265;3489394.2601;2013-12-05;2022-09-24;2022-10-01;3195.0;
ARAC;PILLAR/STEEL MAST;0;ROOF;:;;ARAC;37.8939;353.4346;725.099;5007190.6555;-576288.2681;3896600.8035;2007-05-11;2022-09-17;2022-09-25;4978.0;
ARAS;STEEL TOWER;4.599;CONCRETE BLOCK;: BEDROCK;;ARAS;39.945;358.8984;1321.225;4896737.1884;-94156.5173;4074155.4749;2017-01-17;2020-11-09;2022-05-10;1165.0;
ARBT;STEEL TRUSS;:  4'X4' IN PLACE CONCRETE;1.5;CONGLOMERATE;;ARBT;35.7099;268.3715;91.978;-147353.9749;-5182834.631;3702154.3785;2005-08-09;2022-09-24;2022-10-01;5885.0;
ARCH;Steel Pin in Rock;:  UNKNOWN;:;;;ARCH;38.8804;250.243;1432.008;-1680960.2741;-4680063.6476;3982887.1952;2010-07-29;2020-09-22;2022-05-10;1656.0;
