Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
FRG4;Steel Pin in Rock;:  UNKNOWN;:;;;FRG4;39.3892;241.3027;1171.427;-2370621.2841;-4330519.7078;4026547.1514;2017-04-06;2018-07-16;2022-05-12;451.0;
FRG5;Steel Pin in Rock;:  UNKNOWN;:;;;FRG5;39.4216;241.289;1179.33;-2370565.0387;-4327955.0712;4029330.5106;2017-05-10;2018-08-12;2022-05-12;458.0;
FRKN;:;:                      :;;;;FRKN;35.1919;276.6051;619.626;600280.1609;-5184056.4162;3655639.8982;2003-01-13;2021-08-23;2022-05-12;6048.0;
FRMT;:;:                      :;;;;FRMT;43.6647;265.5565;336.063;-358059.4578;-4607630.7472;4381447.1515;2009-08-16;2022-09-24;2022-10-01;4633.0;
FRNS;PILLAR;0.5;ROOF;: BEDROCK;;FRNS;37.7693;334.6918;275.403;4563832.9989;-2158113.946;3885405.9967;2008-01-01;2022-09-13;2022-09-26;5149.0;
FRON;MAST;:  WALL;:;;;FRON;27.7535;341.9891;308.215;5371961.1398;-1746590.713;2952502.4297;2010-07-14;2022-06-14;2022-09-12;4124.0;
FRRL;REINFORCED CONCRETE PILLAR;3.00;CONCRETE BLOCK;1.00;PLUTONIC BEDROCK;FRRL;43.4614;351.6618;111.635;4587906.5406;-672424.455;4364929.7607;2016-04-22;2022-09-17;2022-09-26;2278.0;
FRTG;PILLAR;1.52;POURED CONCRETE CYLINDER;3.66               :;;FRTG;43.0376;277.5118;156.469;610411.7028;-4629148.4018;4330660.0703;2003-04-10;2022-09-24;2022-10-01;6418.0;
FSFB;BUILDING WALL;:;:;;;FSFB;29.5562;264.3696;2.432;-544784.2742;-5525902.2514;3127674.6851;2014-05-15;2022-09-24;2022-10-01;2922.0;
FSHB;BUILDING ROOF;:;:;;;FSHB;32.945;244.2001;134.95;-2331923.275;-4823828.0053;3448913.6887;2006-10-13;2022-07-31;2022-08-15;3997.0;
FSHS;STEEL MAST;30;Roof;1                  :;;FSHS;29.8053;268.4978;-15.859;-145211.057;-5537098.0218;3151657.5512;2010-05-13;2022-09-24;2022-10-01;4341.0;
FST5;STEEL MAST;:  STEEL MAST;:;;;FST5;35.2218;248.1826;2136.4;-1939276.0404;-4844269.7061;3659226.295;2000-08-17;2016-08-04;2022-05-12;5747.0;
FST6;STEEL MAST;:  STEEL MAST;:;;;FST6;35.2215;248.1825;2135.94;-1939286.3881;-4844281.8432;3659204.0899;2000-08-17;2016-08-04;2022-05-12;4468.0;
FSTH;BUILDING ROOF;:;:;;;FSTH;35.175;356.1368;71.823;5207464.4718;-351648.721;3653796.9178;2018-04-22;2022-07-16;2022-09-12;1469.0;
FTNF;PERMANENT STATION UNSPECIFIED;:;:;;;FTNF;44.5779;249.1757;2190.95;-1618323.2842;-4254820.4417;4455599.7069;2008-06-26;2020-08-18;2022-05-12;1746.0;
FUDE;REINFORCED CONCRETE PILLAR;1.00;ROOF;: LIMESTONE;;FUDE;43.1536;355.1943;1903.185;4645300.1462;-390540.8605;4341266.9432;2017-10-14;2022-09-17;2022-09-26;1516.0;
FUER;PILLAR;0.50;CONCRETE BLOCK;2                  :;;FUER;28.4989;346.1401;76.813;5446290.9073;-1343779.668;3025244.318;2013-12-12;2022-09-17;2022-09-26;3079.0;
FUNC;STEEL MAST;8;ROOF;: BASALT LAVA;;FUNC;32.6479;343.0924;78.439;5143339.2859;-1563412.7325;3421191.6046;2003-09-16;2022-09-17;2022-09-26;6005.0;
FVFI;STEEL MAST;:  ROOF;:;;;FVFI;38.7205;351.6795;237.554;4930529.3519;-721088.4339;3968305.4116;2008-12-09;2022-06-01;2022-06-17;4856.0;
FVPK;Wyatt/Agnew drilled-braced;:;: MARINE TERRACE;;;FVPK;33.6623;242.0643;-11.513;-2489553.1523;-4694869.5426;3515327.3175;1998-10-22;2022-09-24;2022-10-01;8172.0;
FWBD;BLDING MOUNT 2 STEEL PIPE W/SCIGN MOUNT;:   Farewell Bend P.O.E. STEEL FRAME BLDIN:                      :;;;;FWBD;44.2919;242.7784;631.429;-2092000.0633;-4066812.6921;4431805.5389;2011-07-03;2022-09-24;2022-10-01;3738.0;
FXHS;Wyatt/Agnew drilled-braced;:;: ALLUVIUM;;;FXHS;34.0806;241.6405;33.321;-2511943.5919;-4653606.8027;3553873.9754;1999-10-08;2011-10-12;2022-05-12;3733.0;
